# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
3.8038038038038042e+00 5.6390077865797599e+00 -1.6436778107745829e-02 3.0758668079618147e-04 9.0200011574858012e-05 7.1448025822233897e-06 4.4871542828343991e+01 3.2059831506829958e-04 1.3508387800008817e-04 1.1743755262928301e-07 1.6101390137486036e-04 -1.3327844975699729e-02 -5.0534023947476308e-11
3.9039039039039043e+00 5.6373613612490718e+00 -1.6459026952915411e-02 3.1674953463404338e-04 9.2887747916337756e-05 7.1447058420073702e-06 4.9595688467984999e+01 3.5434660513558998e-04 1.3544982735770852e-04 1.1759492506848066e-07 1.6570087817963290e-04 -1.3343200072218311e-02 -5.0534730510472804e-11
4.0040040040040044e+00 5.6357126991900550e+00 -1.6481313091477531e-02 3.2618544137572996e-04 9.5655510136959671e-05 7.1446088400707078e-06 5.4817199489287042e+01 3.9164744805907971e-04 1.3581688652591296e-04 1.1775255540132122e-07 1.7052364112623552e-04 -1.3362856984684913e-02 -5.0535438902010302e-11
4.1041041041041044e+00 5.6340617933833297e+00 -1.6503633913522015e-02 3.3590254238202748e-04 9.8505674763490477e-05 7.1445115752418788e-06 6.0588439291210378e+01 4.3287480584189238e-04 1.3618501493473551e-04 1.1791042493744975e-07 1.7548591968430508e-04 -1.3387322919391296e-02 -5.0536149126259079e-11
4.2042042042042045e+00 5.6324086406945399e+00 -1.6525998593891075e-02 3.4590920904719062e-04 1.0144073175707380e-04 7.1444140468060637e-06 6.6967284172590809e+01 4.7844200571911115e-04 1.3655436654035918e-04 1.1806859919031487e-07 1.8059186992012126e-04 -1.3414943772486476e-02 -5.0536861188909484e-11
4.3043043043043046e+00 5.6307532418232666e+00 -1.6548427938694942e-02 3.5621405003980779e-04 1.0446328661359286e-04 7.1443162544990560e-06 7.4017703738790971e+01 5.2880588394173993e-04 1.3692528860460507e-04 1.1822722677488713e-07 1.8584622874684805e-04 -1.3441946657594132e-02 -5.0537575097159972e-11
4.4044044044044046e+00 5.6290955992912064e+00 -1.6570948323146418e-02 3.6682592504363608e-04 1.0757604147052686e-04 7.1442181982692619e-06 8.1810402414464164e+01 5.8447136573714644e-04 1.3729822255225527e-04 1.1838649608864851e-07 1.9125426534716904e-04 -1.3463561693351792e-02 -5.0538290858870867e-11
4.5045045045045047e+00 5.6274357128232468e+00 -1.6593577772901252e-02 3.7775396709735374e-04 1.1078174821047996e-04 7.1441198777313172e-06 9.0423528495777248e+01 6.4599652734128644e-04 1.3767347365641123e-04 1.1854653586316219e-07 1.9682133007369607e-04 -1.3476568359995035e-02 -5.0539008480591390e-11
4.6046046046046047e+00 5.6257735714750705e+00 -1.6616302241091323e-02 3.8900761563217981e-04 1.1408312655156137e-04 7.1440212912349025e-06 9.9943457852751507e+01 7.1399819081969487e-04 1.3805081592727634e-04 1.1870724567508156e-07 2.0255173917604899e-04 -1.3483607641737930e-02 -5.0539727964160021e-11
4.7047047047047048e+00 5.6241091457847183e+00 -1.6639051957570341e-02 4.0059665012507099e-04 1.1748278096164183e-04 7.1439224349365196e-06 1.1046566014100176e+02 7.8915810777137536e-04 1.3842909494467408e-04 1.1886812698694164e-07 2.0844722904385881e-04 -1.3497445594902100e-02 -5.0540449303255969e-11
