# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
2.3607514712253884e-02 4.9446724640642753e-09 2.5960727253322604e-59 -2.6028588440982688e-34 1.0255530908148116e-11 5.2502420417113280e-51 -7.2647960190135885e-01
2.6244598898605323e-02 4.7186015853260876e-09 2.4163374515425779e-59 -2.4060964449806677e-34 1.0254797190341591e-11 5.1208761914905187e-51 -7.1257008216520989e-01
2.9176259328609174e-02 4.5061106969953091e-09 2.2929023791579149e-59 -2.2466228667786965e-34 1.0254067362909169e-11 5.0884288765627318e-51 -6.9893447768979355e-01
3.2435401725857231e-02 4.3063536752230315e-09 2.1529204007781581e-59 -2.0842868683011183e-34 1.0253343182849156e-11 4.9994045151590010e-51 -6.8452396661546144e-01
3.6058607557211214e-02 4.1185360340313284e-09 2.0121925631481012e-59 -1.9274285650287075e-34 1.0252620636039386e-11 4.8856985747397131e-51 -6.6953315234879929e-01
4.0086544632756752e-02 3.9419134966164346e-09 1.8773211616305148e-59 -1.7780833472714686e-34 1.0251901238502680e-11 4.7624615893827318e-51 -6.5362594376307981e-01
4.4564423571942270e-02 3.7757892320862731e-09 1.7980942778975587e-59 -1.6638901600970644e-34 1.0251182389274153e-11 4.7621680326262288e-51 -6.3857888192135281e-01
4.9542505259398940e-02 3.6195051217315614e-09 1.6724462746603203e-59 -1.5289861217645868e-34 1.0250467900032958e-11 4.6206490070118385e-51 -6.2144522868831109e-01
5.5076664986258239e-02 3.4724473819785245e-09 1.5920913407659763e-59 -1.4225982928752175e-34 1.0249751986420545e-11 4.5849257472660035e-51 -6.0503494131565216e-01
6.1229019609036352e-02 3.3340396908436587e-09 1.4851581015228201e-59 -1.3068233347091843e-34 1.0249037175158411e-11 4.4545303572766096e-51 -5.8727992215251501e-01
6.8068624765481728e-02 3.2037422572582003e-09 1.4097572969501887e-59 -1.2117136344028778e-34 1.0248320896487723e-11 4.4003455451396871e-51 -5.7016300443073020e-01
7.5672249973118097e-02 3.0810499156907140e-09 1.3219594991725253e-59 -1.1121809121261956e-34 1.0247606227924239e-11 4.2906137042449264e-51 -5.5108297605361733e-01
8.4125240310392382e-02 2.9654892582186515e-09 1.2466217378333594e-59 -1.0230999549737832e-34 1.0246890109858133e-11 4.2037641322706942e-51 -5.3211137151559973e-01
9.3522474352161197e-02 2.8566148822908270e-09 1.1789671672485182e-59 -9.4202520404359641e-35 1.0246174390924011e-11 4.1271477459469792e-51 -5.1331720396072966e-01
1.0396942911163558e-01 2.7540106934010934e-09 1.1103177666619007e-59 -8.6166480588897455e-35 1.0245458109436070e-11 4.0316392718530175e-51 -4.9275597504169882e-01
1.1558336394197002e-01 2.6572868873522375e-09 1.0463441066943006e-59 -7.8855749055287416e-35 1.0244739744146662e-11 3.9376407254878463e-51 -4.7290823094871665e-01
1.2849463668591790e-01 2.5660772141671863e-09 9.8744296349358113e-60 -7.2036300919777389e-35 1.0244021191144923e-11 3.8480641114069252e-51 -4.5254371086790474e-01
1.4284816684635959e-01 2.4800589774580010e-09 9.3195187787077042e-60 -6.5450061725658545e-35 1.0243293367821986e-11 3.7577811106169661e-51 -4.3050907650895809e-01
1.5880506220071439e-01 2.3988381038593569e-09 8.7972578392024057e-60 -5.9516282996737778e-35 1.0242392369090571e-11 3.6672995251530266e-51 -4.0969594957097283e-01
1.7654442711677987e-01 2.3221662964790421e-09 8.3095551850663863e-60 -5.3738555220551862e-35 1.0241487352228798e-11 3.5783635296342271e-51 -3.8685698176747174e-01
1.9626537286701065e-01 2.2497647244468769e-09 7.8597089253862516e-60 -4.8530070505961734e-35 1.0240578829096556e-11 3.4935692785913982e-51 -3.6495484994143929e-01
2.1818925250552718e-01 2.1813730254324773e-09 7.4300794240016412e-60 -4.3518221150066829e-35 1.0239663920632786e-11 3.4061480257502310e-51 -3.4182941954660823e-01
2.4256214539270171e-01 2.1167478202318748e-09 7.0127264013970003e-60 -3.8805729708616093e-35 1.0238742288119775e-11 3.3129720670404686e-51 -3.1850616728916287e-01
2.6965761925427456e-01 2.0556631725381236e-09 6.6357465791544276e-60 -3.4486236539117849e-35 1.0237811106369497e-11 3.2280320374476931e-51 -2.9527381073589154e-01
2.9977980077707206e-01 1.9979094385308699e-09 6.2742531833937249e-60 -3.0412868947569432e-35 1.0236871400833091e-11 3.1404092009332485e-51 -2.7163671602508854e-01
3.3326678920650027e-01 1.9432896380139615e-09 5.9305397560321578e-60 -2.6416762184849233e-35 1.0235919089272398e-11 3.0518043425030343e-51 -2.4607285508950649e-01
3.7049445126092173e-01 1.8916224949238094e-09 5.6103914403057013e-60 -2.2864405839588279e-35 1.0234957601032934e-11 2.9659149515092206e-51 -2.2194537710866469e-01
4.1188063995803131e-01 1.8427378844485908e-09 5.3458528010397523e-60 -1.9611851503341655e-35 1.0233981163103411e-11 2.9010380945412708e-51 -1.9759607601383661e-01
4.5788988470643521e-01 1.7964805180925542e-09 5.0533370422340598e-60 -1.6534539485761110e-35 1.0232991093033809e-11 2.8129094589901439e-51 -1.7353685200853902e-01
5.0903860530525535e-01 1.7527050751722100e-09 4.8025957695672201e-60 -1.3490168582751655e-35 1.0231984550565824e-11 2.7401049027574401e-51 -1.4703642601527614e-01
5.6590090837505325e-01 1.7112787368407312e-09 4.5753107268306405e-60 -1.0847348045468283e-35 1.0230962812797691e-11 2.6736209761346818e-51 -1.2258939478798932e-01
6.2911503128071999e-01 1.6720767278561474e-09 4.3439779644335538e-60 -8.1206629166561552e-36 1.0229922491626663e-11 2.5979537254867385e-51 -9.5283911185393033e-02
6.9939050587463025e-01 1.6349864890708471e-09 4.1138426080028090e-60 -5.6589744815176232e-36 1.0228865062778535e-11 2.5161324790767420e-51 -6.9001227305993590e-02
7.7751612246776514e-01 1.5999024600743433e-09 3.9157846748201682e-60 -3.4631672120940453e-36 1.0227787860424325e-11 2.4475146282594077e-51 -4.3753954094821530e-02
8.6436878341850576e-01 1.5667077497369826e-09 3.7047029124489032e-60 -1.2812384230625669e-36 1.0226686575799212e-11 2.3646419781039861e-51 -1.6817415918241613e-02
9.6092334571411364e-01 1.5352856195926073e-09 3.5218830583617613e-60 7.2890579282981323e-37 1.0225400178153498e-11 2.2939595169896165e-51 9.9126402483398456e-03
1.0682635630205650e+00 1.5055972238803722e-09 3.4005113612206264e-60 2.5313880963798521e-36 1.0224067824923985e-11 2.2585797232386604e-51 3.5377913505156983e-02
