# k_modes P_R(k) P_S(k) P_RS(k) 
3.9155671606167253e+01 1.0528042593934604e-09 1.1579454849556556e-69 -4.3397267232917144e-40
4.3529831983909361e+01 1.0478035667343150e-09 1.6195774300455977e-69 -3.1825687128987422e-40
4.8392638788219095e+01 1.0428165699923289e-09 2.1393000612029738e-69 3.3296786612171236e-41
5.3798679713551437e+01 1.0378423551351914e-09 2.5365032316331781e-69 7.5383239615273525e-40
5.9808640557660297e+01 1.0328808809560370e-09 3.8497695488714075e-69 1.5307907716949149e-39
6.6489986453224802e+01 1.0279330683360356e-09 4.4413549116440498e-69 1.6250486773697397e-39
7.3917719201256560e+01 1.0229961655338072e-09 4.8525642964166779e-69 1.9490798783034693e-39
8.2175219207776109e+01 1.0180768212342721e-09 1.0941457124360127e-68 3.3353048459914250e-39
9.1355181474961725e+01 1.0131684307484539e-09 1.3414674683476018e-68 3.6066734515175226e-39
1.0156065615378904e+02 1.0082724412645968e-09 2.4643141503889509e-68 4.2974997311870597e-39
1.1290620533894013e+02 1.0033899423468139e-09 9.1573280822216804e-69 7.3380968646927375e-40
1.2551918909164402e+02 9.9852028662567678e-10 4.6171096232695902e-68 3.6150686044705855e-39
1.3954119512676746e+02 9.9366217909530207e-10 2.1477927911391060e-64 4.6148136393684146e-37
1.5512962821318013e+02 9.8882149784193951e-10 7.0420434316787261e-68 -1.3754047392959516e-39
1.7245947712929677e+02 9.8399165689333521e-10 8.8554573340241181e-68 -4.5373507811966073e-39
1.9172527900884555e+02 9.7917475941677020e-10 1.3287322793094553e-67 -9.2412963773030598e-39
2.1314330312773086e+02 9.7435580158025353e-10 1.9538186240322119e-67 -1.2182019305128114e-38
2.3695397864620543e+02 9.6954427502584615e-10 2.7545470579721314e-67 -1.5634182419069088e-38
2.6342459355909921e+02 9.6474538591450320e-10 3.7292732226324256e-67 -1.8327026802155926e-38
2.9285229515131357e+02 9.5995898376892756e-10 4.6285341160563398e-67 -1.9865228838601715e-38
3.2556742564035170e+02 9.5518647697755289e-10 6.6099360613162448e-67 -1.7460920135608543e-38
3.6193723045032016e+02 9.5042678526796376e-10 1.0169372081714649e-66 -1.8200425000622445e-38
4.0236998074481767e+02 9.4568032989907281e-10 1.1435297225369080e-66 -1.5743978655979661e-39
4.4731955649643419e+02 9.4094725522283627e-10 1.9172174234137172e-66 6.6539039641929586e-39
4.9729054154034014e+02 9.3622652618417947e-10 2.0022689255392748e-66 1.3776671468037766e-38
5.5284388780676102e+02 9.3151870962372169e-10 3.4191376023517944e-66 3.1760437714648717e-38
6.1460321231647913e+02 9.2682431079895295e-10 4.6440636740417279e-66 5.7357791423627874e-38
6.8326179762661525e+02 9.2214273885608520e-10 5.7336724451845424e-66 7.1994943725222391e-38
7.5959037431057254e+02 9.1747334183717747e-10 8.9931979691875473e-66 9.0117309100893823e-38
8.4444577283476178e+02 9.1281891170997347e-10 1.1053732242878783e-65 9.5410261684735926e-38
9.3878054195423317e+02 9.0817626137976864e-10 1.3204139776872239e-65 8.8300410874242702e-38
1.0436536415990033e+03 9.0354706269778151e-10 2.2334040948540823e-65 6.8254370546236399e-38
1.1602423302846441e+03 8.9893087966034062e-10 2.9622507828708064e-65 3.0152985489984375e-38
1.2898553804898897e+03 8.9431618447735651e-10 4.2828706624967476e-65 4.2395717912866182e-38
1.4339477703511761e+03 8.8970548150372269e-10 4.7354837907147360e-65 -6.2544025224078870e-38
1.5941370165965100e+03 8.8510726220015935e-10 7.2593914698164035e-65 -1.5864215391142985e-37
1.7722213320648734e+03 8.8052372158018494e-10 8.7835981551772105e-65 -2.3658912154279422e-37
1.9701998116393759e+03 8.7595256576413705e-10 1.3893831768404906e-64 -3.0134612718754265e-37
2.1902948731923630e+03 8.7139381292166793e-10 6.9965528237835346e-65 -1.9059372658193915e-37
2.4349772054545606e+03 8.6684949894542662e-10 2.5223045694273709e-64 -4.4327994944137817e-37
2.7069935028618293e+03 8.6231700980963782e-10 3.6586301405218678e-64 -4.5882380904239783e-37
3.0093972987185330e+03 8.5779740569097881e-10 5.2746387522141995e-64 -4.9308172731232128e-37
3.3455832427968207e+03 8.5329108214743181e-10 7.9592060252112026e-64 -3.0422459871075459e-37
3.7193252081568162e+03 8.4879763590324392e-10 9.4339220495146964e-64 -4.7839094152695934e-38
4.1348186549578795e+03 8.4431720164155489e-10 1.4466520298506496e-63 1.2098769910354198e-37
4.5967277268180333e+03 8.3984940346630539e-10 1.6725920470276679e-63 6.2623787750000450e-37
5.1102376084043699e+03 8.3539448060008226e-10 2.3891838036208503e-63 1.0470361262541730e-36
5.6811127319971620e+03 8.3095286699492591e-10 3.3734226075615531e-63 1.5137045196794096e-36
6.3157614864287852e+03 8.2652428767042855e-10 4.4495523367880532e-63 1.9056873707042842e-36
7.0213081547907623e+03 8.2210871951399639e-10 6.8876172724668284e-63 2.3379922787486690e-36
7.8056728884495587e+03 8.1769679593388636e-10 9.4999251247372319e-63 2.4520401530674532e-36
8.6776606151239957e+03 8.1328775432299973e-10 1.1642106559300738e-62 2.2456108156301357e-36
9.6470598790658587e+03 8.0889197072626600e-10 1.5731056075828109e-62 1.7308709714426950e-36
1.0724752722880339e+04 8.0450935832976331e-10 2.4010341964429155e-62 1.7205698757362094e-36
1.1922836844469384e+04 8.0013987715435329e-10 3.4701230171427990e-62 8.6340431828477336e-37
1.3254761400378327e+04 7.9578319505276273e-10 4.3228228582914825e-62 -2.1562965995999737e-36
1.4735477980012467e+04 7.9143850891519335e-10 6.5032283703581847e-62 -4.5383694346224671e-36
1.6381608445492937e+04 7.8710791905135600e-10 8.2872153552918920e-62 -6.1879411708699219e-36
1.8211631521247713e+04 7.8278980199101958e-10 1.2548660405883364e-61 -8.4855390937568708e-36
2.0246090227907527e+04 7.7848474861854081e-10 1.7149513725349775e-61 -1.1539654126275703e-35
2.2507822489068843e+04 7.7419243250929795e-10 2.0983658490216129e-61 -1.2615727915854650e-35
2.5022217499610018e+04 7.6991251391067532e-10 3.3710725835150438e-61 -1.2972376867371954e-35
2.7817500733439225e+04 7.6564576823747024e-10 3.8060038288047969e-61 -1.0990061866482650e-35
3.0925050790040845e+04 7.6139180281593927e-10 5.1119913056354086e-61 -6.4604589959950908e-36
3.4379751636600966e+04 7.5715101376505190e-10 7.8074267146659361e-61 -2.5395421110299762e-36
3.8220384199822060e+04 7.5292317281464610e-10 1.0298884760168337e-60 6.8130446245070048e-36
4.2490061703262116e+04 7.4870780714583528e-10 1.4654438484390399e-60 1.8239936939326225e-35
4.7236713637102439e+04 7.4449799879423345e-10 1.7450702992049809e-60 2.2496070704806766e-35
5.2513623793168197e+04 7.4029111968986172e-10 2.7376767362786352e-60 4.0683870238097813e-35
5.8380028404947523e+04 7.3609710392254359e-10 3.7359652172652054e-60 5.2210035016187505e-35
6.4901781107055533e+04 7.3191600647450174e-10 5.2192327361191760e-60 6.0553553597338752e-35
7.2152092178687482e+04 7.2774772470420083e-10 6.9117773234498097e-60 6.5052945848577531e-35
8.0212350369470121e+04 7.2359237050492293e-10 1.1025818173755091e-59 6.3308298960520183e-35
8.9173036533168415e+04 7.1944980710067241e-10 1.3298582192306328e-59 4.6306978093132990e-35
9.9134739325284652e+04 7.1532030334079282e-10 1.8926739525561763e-59 1.7719579366493002e-35
1.1020928436631887e+05 7.1120352913083686e-10 2.3949833322611997e-59 -1.3665550950826188e-35
1.2252098954617704e+05 7.0709902600618433e-10 3.2708443949605827e-59 -6.0868121260701117e-35
1.3620806056120261e+05 7.0300762296088647e-10 4.9066539652129122e-59 -1.1129924474196005e-34
1.5142414234951959e+05 6.9892897593967301e-10 6.7762370965079034e-59 -1.8398404220745577e-34
1.6834004384039101e+05 6.9486326461185293e-10 9.6188896357931946e-59 -2.4976365467131716e-34
1.8714565537887410e+05 6.9081042887756209e-10 1.2090759484946631e-58 -2.8890411291187445e-34
2.0805208034991028e+05 6.8677005735377494e-10 1.5146766016852942e-58 -3.0167922640228415e-34
2.3129400493051275e+05 6.8274161825584205e-10 2.3760684642663354e-58 -3.3269882067292152e-34
2.5713233257183983e+05 6.7872820197066644e-10 3.5598210240927380e-58 -2.8774419867463992e-34
2.8585711278465000e+05 6.7472047780503943e-10 4.2953094467698194e-58 -2.5109450666059156e-34
3.1779079710540251e+05 6.7071525887861287e-10 6.2096998978363391e-58 -1.9113653354281349e-35
3.5329185879299114e+05 6.6672285865228959e-10 8.5947342540679364e-58 1.9275117047383819e-34
3.9275881688924122e+05 6.6274310412378433e-10 1.1310391480760216e-57 4.3950781841039024e-34
4.3663470981544576e+05 6.5877645219260494e-10 1.4496645017102710e-57 7.1167230300877893e-34
4.8541206872354285e+05 6.5482265483066233e-10 2.1766864346385831e-57 1.0894700591021358e-33
5.3963844643057126e+05 6.5088174236106415e-10 2.7871737099145281e-57 1.3374149013599249e-33
5.9992256400170445e+05 6.4695314397299072e-10 3.6369379433024915e-57 1.5008478746056886e-33
6.6694114398071426e+05 6.4303722430806810e-10 5.6881561354541846e-57 1.6732775236197783e-33
7.4144650697458722e+05 6.3913425566534828e-10 8.2017177202104287e-57 1.5957186380192652e-33
8.2427501686822856e+05 6.3524407688363070e-10 1.0016823797495881e-56 1.4379538580643228e-33
9.1635646947137453e+05 6.3136660835350956e-10 1.5625281854576698e-56 5.4931621551345526e-34
1.0187245299905542e+06 6.2750142298444115e-10 2.0464830796250911e-56 -4.1670328732281291e-34
1.1325283364924164e+06 6.2364925821368033e-10 2.8104204809842543e-56 -1.7203369486834509e-33
1.2590453996137383e+06 6.1980996641250582e-10 3.7896261604119941e-56 -3.2188888704955869e-33
1.3996959433245396e+06 6.1598337907859156e-10 4.8114958745004301e-56 -4.5338832117335834e-33
1.5560588477271835e+06 6.1216940842726995e-10 6.7356586416253870e-56 -6.1936929256581428e-33
1.7298893728583464e+06 6.0836339405923051e-10 1.0354818854339928e-55 -7.9243709573693064e-33
1.9231388624531606e+06 6.0455955269785038e-10 1.3319258841057504e-55 -8.6878980115642958e-33
2.1379766488573621e+06 6.0076887946425441e-10 1.8844470798156919e-55 -8.4752514721557637e-33
2.3768144049819834e+06 5.9699099545524217e-10 2.5696042853068903e-55 -7.7882961584421147e-33
2.6423332166649671e+06 5.9322596099524750e-10 3.4549452909464786e-55 -4.6513389222190378e-33
2.9375136793417339e+06 5.8947354112689419e-10 5.1856311643433002e-55 -1.3081806455881888e-34
3.2656693568765298e+06 5.8573345840472616e-10 7.0791422001705156e-55 5.8484837646621477e-33
3.6304839781485670e+06 5.8200628413434001e-10 8.5577943114570177e-55 1.2206507667154878e-32
4.0360527889448921e+06 5.7829197283023007e-10 1.2520627752464032e-54 2.0570974721067387e-32
4.4869285233582426e+06 5.7459033668615166e-10 1.7644829035221078e-54 2.9094832772539863e-32
4.9881725107437856e+06 5.7090096808268751e-10 2.1979218870456029e-54 3.5274135257124202e-32
5.5454114919390604e+06 5.6722428867917973e-10 3.4030686949707284e-54 4.2862427330626626e-32
6.1649007825402087e+06 5.6356036952448360e-10 4.4506720133627003e-54 4.5470379344475722e-32
6.8535944922772888e+06 5.5990915515489116e-10 5.7072605551106457e-54 3.9344435502013558e-32
7.6192235887402808e+06 5.5627074733121788e-10 8.0864952842989327e-54 3.2530370035903891e-32
8.4703826817636210e+06 5.5264481663325945e-10 1.2481115737053914e-53 1.2369015342093730e-32
9.4166265026727859e+06 5.4903154238577878e-10 1.6954073090673345e-53 -1.4799727156605969e-32
1.0468577161424838e+07 5.4542635609708431e-10 1.9912884873917396e-53 -4.5622835304226631e-32
1.1638043385664679e+07 5.4182444381796764e-10 3.3652213576529708e-53 -9.3044742375200122e-32
1.2938153080220424e+07 5.3823565100730700e-10 3.8638554647932438e-53 -1.2438304210119694e-31
1.4383500695091808e+07 5.3465923606671443e-10 5.2757794395091990e-53 -1.6354711240014906e-31
1.5990311056219373e+07 5.3109540911636098e-10 7.8877524338464853e-53 -2.0393827427586883e-31
1.7776621498123996e+07 5.2754441518723310e-10 9.1223241110961789e-53 -2.0741029992488689e-31
1.9762484342958122e+07 5.2400607551455858e-10 1.3683898386373948e-52 -2.0967987989958813e-31
2.1970191998905953e+07 5.2048039107736597e-10 1.8757085252369904e-52 -1.7289897646777293e-31
2.4424527204788785e+07 5.1696708490865182e-10 2.5900282942945582e-52 -1.0732201403618117e-31
2.7153041230007082e+07 5.1346632401476384e-10 3.6976303110613683e-52 3.3751082099477504e-33
3.0186363152769994e+07 5.0997824879695316e-10 4.8866470107214851e-52 1.4337785389311197e-31
3.3558543688429266e+07 5.0650282652252004e-10 6.7720298758354581e-52 3.3438821199282422e-31
3.7307437427581258e+07 5.0303994672166717e-10 1.0278193965588214e-51 5.6919969593841309e-31
4.1475127774772726e+07 4.9958972421739433e-10 1.3753807609318638e-51 7.7279066149471520e-31
4.6108399357978664e+07 4.9615180968468339e-10 1.6627454221904608e-51 9.0288455298559031e-31
5.1259263211914390e+07 4.9272670816333565e-10 2.3848460139478259e-51 1.0524234063996287e-30
5.6985540630649552e+07 4.8931433510823319e-10 3.2965308384753310e-51 1.0903506731785256e-30
6.3351512243598334e+07 4.8590986625794541e-10 4.5553641278708189e-51 9.8992662035437908e-31
7.0428639601116061e+07 4.8250983026466387e-10 6.0450517784124451e-51 7.3687254233729481e-31
7.8296367369906321e+07 4.7912228224994328e-10 8.4927515788884108e-51 2.6279891679842059e-31
8.7043015143319786e+07 4.7574750677037660e-10 1.1679352941637308e-50 -3.9242020358059884e-31
9.6766768877609938e+07 4.7238546332621773e-10 1.6064349396559740e-50 -1.2552339857394658e-30
1.0757678308356987e+08 4.6903592969173360e-10 2.2252085024526365e-50 -2.1601273773322761e-30
1.1959440614625241e+08 4.6569886823301678e-10 3.0312207847561545e-50 -3.2977002660598479e-30
1.3295454252767439e+08 4.6237423038717124e-10 4.2261043251862423e-50 -4.3422561471854658e-30
1.4780716714397058e+08 4.5906218699670489e-10 5.7121582801374488e-50 -5.0927303145414669e-30
1.6431900891673732e+08 4.5576298964166160e-10 7.7725058882474870e-50 -5.4520420600850683e-30
1.8267542239733818e+08 4.5247607651640587e-10 1.0769641264306055e-49 -5.2605247585175892e-30
2.0308246847420511e+08 4.4920157339949733e-10 1.4663317389772895e-49 -4.3253825858050142e-30
2.2576922752021948e+08 4.4593949872625876e-10 2.1622503839200380e-49 -2.3613316397537297e-30
2.5099037094652256e+08 4.4269027377821151e-10 2.9896520682139249e-49 4.4496774223571384e-31
2.7902902002989388e+08 4.3945349773308185e-10 3.7998693298607150e-49 4.4819129864148235e-30
3.1019992410558105e+08 4.3622929088746568e-10 5.5414360746370838e-49 9.4596848500099799e-30
3.4485299380257738e+08 4.3301751691710782e-10 7.4791250550276081e-49 1.4601449776442993e-29
3.8337722898386037e+08 4.2981339146358478e-10 1.0413164537782830e-48 2.0083231795416713e-29
4.2620508548487365e+08 4.2661516680265474e-10 1.3726700687223831e-48 2.4192189590231911e-29
4.7381732966935211e+08 4.2342940560666128e-10 1.8644424007239035e-48 2.6999183924556856e-29
5.2674843529750252e+08 4.2025637683787919e-10 2.7412006582259935e-48 2.8592680918841209e-29
5.8559258328941751e+08 4.1709553807362268e-10 3.4894516166875848e-48 2.4127130122699309e-29
6.5101033173433805e+08 4.1394738045011138e-10 4.9152466739335490e-48 1.6834502813599071e-29
