# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
2.5025025025025025e+00 5.6623954269759222e+00 -1.4669242894623501e-02 7.7546884806243686e+00 -4.4660023355802270e-02 6.9328281261686109e-06 1.2213018860715962e+01 8.4670760662999345e-05 1.1738650031320618e-04 1.0622682791589022e-07 -2.3001287167707385e-02 -2.2657407472156901e-02 1.3802432583172766e-10
2.6026026026026026e+00 5.6609267316897718e+00 -1.4675637602661338e-02 7.7501996050720541e+00 -4.5017391131374540e-02 6.9327465721369827e-06 1.3498824432822563e+01 9.3583928814529576e-05 1.1764962193565178e-04 1.0634455900548407e-07 -1.8715547073389283e-02 -2.2940113441840330e-02 1.3804887841485743e-10
2.7027027027027031e+00 5.6594572963097187e+00 -1.4683982765044514e-02 7.7456779095610493e+00 -4.5317222072934558e-02 6.9326648348029905e-06 1.4920001610272244e+01 1.0343537049873838e-04 1.1791739568707032e-04 1.0646425160307702e-07 -1.5026620265182493e-02 -2.3169661114670524e-02 1.3806664943882717e-10
2.8028028028028031e+00 5.6579869390691711e+00 -1.4694014357184546e-02 7.7411287377734963e+00 -4.5567659167786163e-02 6.9325829112244119e-06 1.6490802525681858e+01 1.1432385578191842e-04 1.1818905185075661e-04 1.0658555181901102e-07 -1.1872003232952436e-02 -2.3357358376631537e-02 1.3807939625182882e-10
2.9029029029029032e+00 5.6565155033299561e+00 -1.4705496140628308e-02 7.7365566602143545e+00 -4.5775960544426876e-02 6.9325007989282455e-06 1.8226979798299961e+01 1.2635855201376347e-04 1.1846400451568215e-04 1.0670819010951127e-07 -9.1920701183861395e-03 -2.3512004768781004e-02 1.3808844984654154e-10
3.0030030030030033e+00 5.6550428546272506e+00 -1.4718217757419060e-02 7.7319655669049938e+00 -4.5948563745047750e-02 6.9324184957955390e-06 2.0145944507567151e+01 1.3966011831952906e-04 1.1874180490477648e-04 1.0683195982952271e-07 -6.9306394830898274e-03 -2.3640450656598630e-02 1.3809481071794928e-10
3.1031031031031033e+00 5.6535688781271816e+00 -1.4731993160748313e-02 7.7273587476035877e+00 -4.6091140448756562e-02 6.9323359999784860e-06 2.2266940798377895e+01 1.5436191530598478e-04 1.1902210687282619e-04 1.0695670138591017e-07 -5.0354696141529931e-03 -2.3748034122428947e-02 1.3809922534972659e-10
3.2032032032032034e+00 5.6520934768465763e+00 -1.4746660264279230e-02 7.7227389502263151e+00 -4.6208617561066569e-02 6.9322533098480634e-06 2.4611238869055210e+01 1.7061134210946929e-04 1.1930464403600382e-04 1.0708229171170482e-07 -3.4590036598681553e-03 -2.3838888509302863e-02 1.3810224565672631e-10
3.3033033033033035e+00 5.6506165687722998e+00 -1.4762077516777234e-02 7.7181084674343925e+00 -4.6305280003628789e-02 6.9321704239350857e-06 2.7202348277398706e+01 1.8857131419016483e-04 1.1958920593382335e-04 1.0720863337416866e-07 -2.1579660624284429e-03 -2.3916272473805854e-02 1.3810427857615422e-10
3.4034034034034035e+00 5.6491380850699020e+00 -1.4778122259566706e-02 7.7134691941053450e+00 -4.6384830010402771e-02 6.9320873409020040e-06 3.0066253703924282e+01 2.0842189668932151e-04 1.1987562629164303e-04 1.0733564917407258e-07 -1.0932872602003247e-03 -2.3982747361367365e-02 1.3810562236203947e-10
3.5035035035035036e+00 5.6476579683724637e+00 -1.4794689165120823e-02 7.7088226802992939e+00 -4.6450437816478889e-02 6.9320040595175696e-06 3.3231675536623406e+01 2.3036210972444417e-04 1.2016377266186324e-04 1.0746327739732150e-07 -2.3010407175599773e-04 -2.4040336273092176e-02 1.3810649432337259e-10
3.6036036036036037e+00 5.6461761709861165e+00 -1.4811688424889898e-02 7.7041701838527672e+00 -4.6504791567826824e-02 6.9319205786281024e-06 3.6730357890490176e+01 2.5461192372146392e-04 1.2045353506777440e-04 1.0759146665334811e-07 4.6224542732716130e-04 -2.4090692692131887e-02 1.3810705219213687e-10
3.7037037037037037e+00 5.6446926534714859e+00 -1.4829043919878070e-02 7.6995127146955396e+00 -4.6550158012629655e-02 6.9318368971448703e-06 4.0597386950190916e+01 2.8141446478900103e-04 1.2074482164567256e-04 1.0772017387155599e-07 1.0105977316599317e-03 -2.4135176611435629e-02 1.3810741001362859e-10
3.8038038038038042e+00 5.6432073834675647e+00 -1.4846691426991240e-02 7.6948510730317965e+00 -4.6588446215416995e-02 6.9317530140398413e-06 4.4871542828343991e+01 3.1103845224499127e-04 1.2103755792308879e-04 1.0784936393151036e-07 1.4385158507760061e-03 -2.4174880909097370e-02 1.3810764978373154e-10
3.9039039039039043e+00 5.6417203346433658e+00 -1.4864577005855842e-02 7.6901858827841876e+00 -4.6621263084764879e-02 6.9316689283416736e-06 4.9595688467984999e+01 3.4378089273324509e-04 1.2133168620811557e-04 1.0797900934452183e-07 1.7667691363571765e-03 -2.4210653023800485e-02 1.3810782994823481e-10
4.0040040040040044e+00 5.6402314856626417e+00 -1.4882655710808164e-02 7.6855176216992929e+00 -4.6649949505330211e-02 6.9315846391237995e-06 5.4817199489287042e+01 3.7997005793972705e-04 1.2162716163178996e-04 1.0810908844933116e-07 2.0134941893683771e-03 -2.4243155753635476e-02 1.3810799172473387e-10
4.1041041041041044e+00 5.6387408190470154e+00 -1.4900890772753805e-02 7.6808466495130698e+00 -4.6675585864987434e-02 6.9315001454764624e-06 6.0588439291210378e+01 4.1996877576121655e-04 1.2192394144060239e-04 1.0823958062416400e-07 2.1937913760226640e-03 -2.4273009552101092e-02 1.3810816400362771e-10
4.2042042042042045e+00 5.6372483212801052e+00 -1.4919254344321458e-02 7.6761732172417272e+00 -4.6699006922136292e-02 6.9314154465466553e-06 6.6967284172590809e+01 4.6417806792717526e-04 1.2222200225671146e-04 1.0837047393387497e-07 2.3198069717027280e-03 -2.4300583907004052e-02 1.3810836584967872e-10
4.3043043043043046e+00 5.6357539796506932e+00 -1.4937719468547082e-02 7.6714975271900103e+00 -4.6720945014276517e-02 6.9313305414045096e-06 7.4017703738790971e+01 5.1304117052931256e-04 1.2252128683300960e-04 1.0850174149894044e-07 2.4026185880582536e-03 -2.4326660626165265e-02 1.3810861175546140e-10
4.4044044044044046e+00 5.6342577843161621e+00 -1.4956265596529721e-02 7.6668197072900188e+00 -4.6741969983482033e-02 6.9312454291742653e-06 8.1810402414464164e+01 5.6704797779416204e-04 1.2282175785657048e-04 1.0863336538430395e-07 2.4513764231733574e-03 -2.4351767811513436e-02 1.3810891051480558e-10
4.5045045045045047e+00 5.6327597301359775e+00 -1.4974881421674252e-02 7.6621397924236110e+00 -4.6762514849870707e-02 6.9311601091640964e-06 9.0423528495777248e+01 6.2673995363979416e-04 1.2312345231984694e-04 1.0876536056229827e-07 2.4740492916483681e-03 -2.4375514642320590e-02 1.3810926408425865e-10
4.6046046046046047e+00 5.6312598127328641e+00 -1.4993558152108738e-02 7.6574577873250371e+00 -4.6782912211325009e-02 6.9310745806610035e-06 9.9943457852751507e+01 6.9271556022657032e-04 1.2342639812480062e-04 1.0889773791648209e-07 2.4771635612881198e-03 -2.4397627675747723e-02 1.3810967243611921e-10
4.7047047047047048e+00 5.6297580266269875e+00 -1.5012286271774880e-02 7.6527736982047365e+00 -4.6803418843003826e-02 6.9309888428395919e-06 1.1046566014100176e+02 7.6563625795419347e-04 1.2373057691785657e-04 1.0903048789031540e-07 2.4657881831003895e-03 -2.4418404965878476e-02 1.3811013598294108e-10
4.8048048048048049e+00 5.6282543649969634e+00 -1.5031055026709579e-02 7.6480875398028738e+00 -4.6824231370818085e-02 6.9309028947601643e-06 1.2209565620959108e+02 8.4623313706069672e-04 1.2403592341519404e-04 1.0916358031698201e-07 2.4437196827034199e-03 -2.4438717201739270e-02 1.3811065609618019e-10
4.9049049049049049e+00 5.6267488205370624e+00 -1.5049853752778812e-02 7.6433993257598907e+00 -4.6845495376558417e-02 6.9308167354265836e-06 1.3495007630626986e+02 9.3531424731058967e-04 1.2434234934008043e-04 1.0929697506942309e-07 2.4137932290813589e-03 -2.4459708647590044e-02 1.3811123433252423e-10
5.0050050050050050e+00 5.6252413868799787e+00 -1.5068674161125136e-02 7.6387090501913111e+00 -4.6867310292363129e-02 6.9307303638743579e-06 1.4915782969220382e+02 1.0337726992573574e-03 1.2464977998179996e-04 1.0943063817233505e-07 2.3782460519557176e-03 -2.4482349016108546e-02 1.3811187097878605e-10
5.1051051051051051e+00 5.6237320600545342e+00 -1.5087512697590027e-02 7.6340166683540742e+00 -4.6889732442214657e-02 6.9306437792594249e-06 1.6486139739555540e+02 1.1425956182995220e-03 1.2495819126958924e-04 1.0956455801967810e-07 2.3390595868322374e-03 -2.4506985780516195e-02 1.3811256352318131e-10
5.2052052052052051e+00 5.6222208394476976e+00 -1.5106372092372332e-02 7.6293220842916440e+00 -4.6912778588152772e-02 6.9305569809180842e-06 1.8221826106816735e+02 1.2628740412967412e-03 1.2526763513735642e-04 1.0969875634301959e-07 2.2982068381756510e-03 -2.4533044839305122e-02 1.3811330565805533e-10
