# k_modes P_R(k) P_S(k) P_RS(k) 
5.0716405475690778e-02 2.2952776126398211e-09 1.8261921561862673e-69 2.0384721165440962e-39
5.6154873453493390e-02 2.2590972424230332e-09 1.7912645908989325e-69 1.9993893374698141e-39
6.2176524203579837e-02 2.2257182976020831e-09 1.7925401823034391e-69 1.9805379725041423e-39
6.8843894114373624e-02 2.1955584815286245e-09 1.7758076866899182e-69 1.9516284432431661e-39
7.6226225533498226e-02 2.1690578292339530e-09 1.7597722722366402e-69 1.9228341667189174e-39
8.4400185867327338e-02 2.1466777728569839e-09 1.7494820429513845e-69 1.8965600350225543e-39
9.3450663791675867e-02 2.1288899947736207e-09 1.7404927390696838e-69 1.8699137300787394e-39
1.0347165084248390e-01 2.1161749421982079e-09 1.7377390470562828e-69 1.8448624166227966e-39
1.1456721754203926e-01 2.1089833931206546e-09 1.7368165021621801e-69 1.8182148264599459e-39
1.2685259419805983e-01 2.1077017902238247e-09 1.7414662453913435e-69 1.7907271999957343e-39
1.4045536760001182e-01 2.1126059873398454e-09 1.7473870691133929e-69 1.7588902816702501e-39
1.5551680604066145e-01 2.1237927369837504e-09 1.7655159037949130e-69 1.7259023862780928e-39
1.7219332642355156e-01 2.1411000890415427e-09 1.7831560504862575e-69 1.6834209746939215e-39
1.9065811869268551e-01 2.1639981660906310e-09 1.8119231892194088e-69 1.6339495814984011e-39
2.1110294445454392e-01 2.1914942345729988e-09 1.8471835663102122e-69 1.5714718595300180e-39
2.3374012847158102e-01 2.2220275440217780e-09 1.9043194405854517e-69 1.4983017644250108e-39
2.5880476370937333e-01 2.2533804113563714e-09 1.9660110571190868e-69 1.4002462156114010e-39
2.8655715283740091e-01 2.2826475252047911e-09 1.9982140811806982e-69 1.2583344166208810e-39
3.1728551153907342e-01 2.3062787752486121e-09 2.1957298188006209e-69 1.1395172105585025e-39
3.5130896170556941e-01 2.3202579624039432e-09 2.3835888150425897e-69 9.6331198572816345e-40
3.8898084559857515e-01 2.3203744035584107e-09 2.6395810971550575e-69 7.4453644332253093e-40
4.3069239540035298e-01 2.3027771877356012e-09 2.7879565789805143e-69 4.0875479553174917e-40
4.7687679626035928e-01 2.2645916619539775e-09 9.6457282561262872e-67 -2.7693389361303879e-38
5.2801368503419321e-01 2.2046518579847674e-09 4.2778704676292538e-69 -2.2120195526162934e-40
5.8463413143543419e-01 2.1241747262060756e-09 5.3952189931536270e-69 -7.2950067898131900e-40
6.4732615333091437e-01 2.0271847393938586e-09 6.8629180737641666e-69 -1.2496380772182261e-39
7.1674082345716639e-01 1.9204816948814271e-09 9.0815952504357289e-69 -1.9036020422932733e-39
7.9359903097788742e-01 1.8130029298316967e-09 1.2266104602645730e-68 -2.6942129783710141e-39
8.7869896810290982e-01 1.7145532670683662e-09 1.6858569995716074e-68 -3.6353281513929358e-39
9.7292441951914677e-01 1.6341184752604153e-09 2.3417687791508427e-68 -4.7759268685490368e-39
1.0772539407213786e+00 1.5781769034648746e-09 3.2742195686306847e-68 -6.1223669347077334e-39
1.1927710205622011e+00 1.5495522678201957e-09 4.6012999571034107e-68 -7.7182358612594981e-39
1.3206753335618224e+00 1.5472124332967039e-09 6.4652127198021222e-68 -9.5849593163970882e-39
1.4622951988358397e+00 1.5670881123473703e-09 9.0696370810096209e-68 -1.1755539678902205e-38
1.6191013750301493e+00 1.6035784863137522e-09 1.2444761217405544e-67 -1.4114968079429022e-38
1.7927223345269385e+00 1.6511071466931675e-09 1.7570038730108443e-67 -1.7010112265278922e-38
1.9849611755483014e+00 1.7051768184887121e-09 2.4254654996154953e-67 -2.0124062930267852e-38
2.1978143477940146e+00 1.7627255022501424e-09 3.3166509895988239e-67 -2.3523519869304331e-38
2.4334923860840512e+00 1.8219173981780206e-09 4.4708833914789269e-67 -2.7099980558605729e-38
2.6944428673299687e+00 1.8817572913967441e-09 6.0307889189428348e-67 -3.1086647846131563e-38
2.9833758292492911e+00 1.9417471315226489e-09 7.9964547362275009e-67 -3.5107858944752343e-38
3.3032919148027022e+00 2.0016790118215104e-09 1.0447780195666215e-66 -3.9179560943891675e-38
3.6575135346412697e+00 2.0615114290881573e-09 1.3438248304348750e-66 -4.3098370947571625e-38
4.0497193711937118e+00 2.1212761740332947e-09 1.6962040376611628e-66 -4.6640775929825252e-38
4.4839825827275135e+00 2.1809982986370219e-09 2.0923456299910980e-66 -4.9527777266946623e-38
4.9648131041428538e+00 2.2405855688514865e-09 2.5166343235173675e-66 -5.1735023779740500e-38
5.4972044838039720e+00 2.2997384257861124e-09 2.9197411107662677e-66 -5.2392040799899069e-38
6.0866857428204586e+00 2.3578183978783210e-09 3.2488059758997463e-66 -5.1461574318206496e-38
6.7393787953504383e+00 2.4137304295561607e-09 3.4173184214346374e-66 -4.8697938962947187e-38
7.4620620262502140e+00 2.4658066876305702e-09 3.2830128316413794e-66 -4.2908568971992569e-38
8.2622406863405775e+00 2.5117259085399796e-09 2.8436513272906127e-66 -3.6605586093419103e-38
9.1482248363627772e+00 2.5485248499545312e-09 2.0207410500897587e-66 -2.7400723998906272e-38
1.0129215649091897e+01 2.5727421260595917e-09 9.3358709364048124e-67 -1.7483956136725650e-38
1.1215400965877560e+01 2.5807614509911755e-09 8.5240098346037793e-68 -8.4896466275380296e-39
1.2418061099990917e+01 2.5693491541903367e-09 5.3141032863470055e-67 -4.3429633666997298e-39
1.3749685985572913e+01 2.5362926678700098e-09 4.1076154523640413e-66 -8.5419597945657827e-39
1.5224104888805746e+01 2.4810323606419404e-09 1.4166806304845102e-65 -2.3345810128948105e-38
1.6856630028391272e+01 2.4050056829248920e-09 3.5254732798558710e-65 -5.6466054842061502e-38
1.8664215596871927e+01 2.3115963757371968e-09 7.4237638409390886e-65 -1.1329943035565052e-37
2.0665633834271361e+01 2.2056318582767392e-09 1.4072260529769972e-64 -1.9843731006856595e-37
2.2881669982624757e+01 2.0926131021745822e-09 2.4645945027261778e-64 -3.1637744768562459e-37
2.5335338146051654e+01 1.9778944552178345e-09 4.1383128138992599e-64 -4.7345180109431716e-37
2.8052120298133506e+01 1.8660535830840106e-09 6.5501950107490476e-64 -6.7942155324461991e-37
3.1060230918748907e+01 1.7605360222513344e-09 1.0352185448943880e-63 -9.1531649280947250e-37
3.4390910008688287e+01 1.6636096540672875e-09 1.5528450978876096e-63 -1.2108958683917292e-36
3.8078747525079137e+01 1.5764597859429914e-09 2.3665258540927602e-63 -1.5616715835628455e-36
4.2162042606968072e+01 1.4994391072654126e-09 3.5021604848388474e-63 -1.9775786564697545e-36
4.6683201321708829e+01 1.4323082818329145e-09 5.0736722678119446e-63 -2.4597425659341221e-36
5.1689177062854711e+01 1.3744372433648702e-09 7.3704447253617654e-63 -3.0069552580617301e-36
5.7231958173200660e+01 1.3249809472137294e-09 1.0732510714226733e-62 -3.6587834456899171e-36
6.3369107857065373e+01 1.2830034720907550e-09 1.5416723756877877e-62 -4.3965252294728830e-36
7.0164361988941039e+01 1.2475612587220645e-09 2.2012561494863575e-62 -5.2304775906048731e-36
7.7688291026907024e+01 1.2177501928985623e-09 3.1225749333423214e-62 -6.1647578831157127e-36
8.6019032904948006e+01 1.1927327919320130e-09 4.5172203232113971e-62 -7.2938724602087353e-36
9.5243104515451606e+01 1.1717582518557077e-09 6.2181076273890642e-62 -8.3840370072410580e-36
1.0545630020933916e+02 1.1541521488424168e-09 8.7088511566108664e-62 -9.6580981624403166e-36
1.1676468664498528e+02 1.1393327853122592e-09 1.2134743301729248e-61 -1.1037564820331222e-35
1.2928570431768458e+02 1.1267935753574114e-09 1.6868145409526945e-61 -1.2543866339137108e-35
1.4314938720933588e+02 1.1161028904914149e-09 2.2758527286630385e-61 -1.3833656286162007e-35
1.5849971322471555e+02 1.1068951286223137e-09 3.2106171768566758e-61 -1.5756898576511027e-35
1.7549609943896888e+02 1.0988639081227145e-09 4.2672470363339241e-61 -1.6965597482610071e-35
1.9431505768484791e+02 1.0917515883768071e-09 6.0018288391122320e-61 -1.9078588825026361e-35
2.1515202767339417e+02 1.0853472881405597e-09 8.1071052134317217e-61 -2.0591569961148915e-35
2.3822340668549518e+02 1.0794779073007474e-09 1.1053453490595944e-60 -2.2233676074938018e-35
2.6376879691318197e+02 1.0740022078785110e-09 1.4829265442565036e-60 -2.3101352030397625e-35
2.9205349378988473e+02 1.0688087362136018e-09 1.9969753861961669e-60 -2.3862044617263538e-35
3.2337124115159344e+02 1.0638043726241381e-09 2.6749233831763057e-60 -2.4035610982477819e-35
3.5804728184198058e+02 1.0589240967357031e-09 3.5651994368149117e-60 -2.3274589131117090e-35
3.9644173544280244e+02 1.0541088050840849e-09 4.7313582692901010e-60 -2.1304194057816595e-35
4.3895333820817586e+02 1.0493227632160089e-09 6.3005767108537582e-60 -1.8422300006718008e-35
4.8602358404290806e+02 1.0445324150918510e-09 8.1648749450481857e-60 -1.2353961046482708e-35
5.3814130953000222e+02 1.0397160964361759e-09 1.1064671622186951e-59 -6.4472388832666947e-36
5.9584777062402600e+02 1.0348592379653495e-09 1.4628008368301604e-59 3.1420790478455351e-36
6.5974226373310614e+02 1.0299588273597090e-09 1.9348618656853168e-59 1.6458867889413729e-35
7.3048834956592668e+02 1.0250043768435546e-09 2.5686530767028908e-59 3.3164628413259205e-35
8.0882074437999484e+02 1.0199962920567664e-09 3.4180752619895537e-59 5.4792868798007891e-35
8.9555295019851371e+02 1.0149353091369717e-09 4.5493974255618779e-59 8.2429286908900608e-35
9.9158570323768083e+02 1.0098241183975674e-09 6.0631872092512532e-59 1.1756096640574936e-34
1.0979163282834527e+03 1.0046665156072055e-09 8.1582554087775190e-59 1.5944521434884338e-34
1.2156490961653992e+03 9.9946662059918989e-10 1.0991530873994903e-58 2.0776217131968825e-34
1.3460066918926655e+03 9.9422961992129227e-10 1.4910551286401728e-58 2.7207921215114824e-34
1.4903429125515800e+03 9.8896025061894342e-10 2.0302127405894505e-58 3.4634313261460885e-34
1.6501567268358315e+03 9.8366353179970792e-10 2.7809886025623513e-58 4.3454383189970953e-34
1.8271078422210453e+03 9.7834431548863176e-10 3.7979556576855134e-58 5.3764661873922095e-34
2.0230339414528607e+03 9.7300747499746382e-10 5.2639133022729167e-58 6.6049110608055425e-34
2.2399697673538649e+03 9.6765710764326162e-10 7.2695547978709492e-58 8.0238163597016284e-34
2.4801682541499963e+03 9.6229742667788757e-10 1.0081011894232088e-57 9.6384259015731480e-34
2.7461239247706703e+03 9.5693151615620220e-10 1.4016229771437740e-57 1.1505159212871825e-33
3.0405987971095897e+03 9.5156294134704981e-10 1.9491348275153471e-57 1.3613592671613325e-33
3.3666510682894100e+03 9.4619381798088943e-10 2.7062188757766097e-57 1.5972471953081280e-33
3.7276668748237066e+03 9.4082811709196947e-10 3.7652957131818687e-57 1.8650308550656768e-33
4.1273954585136789e+03 9.3546674682808648e-10 5.2268307345288742e-57 2.1543556936379052e-33
4.5699881032864569e+03 9.3011216939069375e-10 7.2673572911969595e-57 2.4792883781064648e-33
5.0600412473440565e+03 9.2476516911484725e-10 9.9082272927802093e-57 2.7994074136824470e-33
5.6026442183537283e+03 9.1942789778037286e-10 1.3762604743542962e-56 3.1887732454926608e-33
6.2034320874219020e+03 9.1410236149560639e-10 1.8944234972770449e-56 3.5689312657488205e-33
6.8686441907537919e+03 9.0878800755820352e-10 2.5941635179169557e-56 3.9632602915543533e-33
7.6051889267611423e+03 9.0348616302422165e-10 3.5410655965255585e-56 4.3535820896323505e-33
8.4207155015526914e+03 8.9819798962235948e-10 4.8206305152246902e-56 4.7603542785642497e-33
9.3236933679026861e+03 8.9292339459934161e-10 6.5182317938520343e-56 5.0727113120332201e-33
1.0323500182691476e+04 8.8766338222885499e-10 8.7892849517888595e-56 5.3479224705042782e-33
1.1430519196279058e+04 8.8241800794117037e-10 1.1842552515274211e-55 5.5686632367180620e-33
1.2656247085224542e+04 8.7718738104203308e-10 1.5953708131905859e-55 5.7502615410067048e-33
1.4013413348222874e+04 8.7197226836114088e-10 2.1269017179996854e-55 5.5708702938799293e-33
1.5516112505215599e+04 8.6677255711126892e-10 2.8224415053183903e-55 5.1751397087978535e-33
1.7179950472597659e+04 8.6158797785342621e-10 3.7664003521901615e-55 4.5860736969788675e-33
1.9022206634664213e+04 8.5641931259726942e-10 4.9997563269462292e-55 3.6273996999526507e-33
2.1062013294451088e+04 8.5126617246538286e-10 6.6252237882148861e-55 2.1003037299509993e-33
2.3320554367611894e+04 8.4612873004797625e-10 8.7776814297126377e-55 5.0222423511216781e-35
2.5821285382818656e+04 8.4100699063416919e-10 1.1648539946282437e-54 -2.6922388068980643e-33
2.8590177073446685e+04 8.3589916737379834e-10 1.5260158043433170e-54 -6.4781821675239195e-33
3.1655985090305719e+04 8.3080607965204261e-10 2.0726582919356378e-54 -1.0987589601435675e-32
3.5050548636453401e+04 8.2572441060433652e-10 2.7282663005752636e-54 -1.6772912604096773e-32
3.8809121125490165e+04 8.2066143811653988e-10 3.6575802671386726e-54 -2.4518845055257466e-32
4.2970736297306838e+04 8.1561292061642928e-10 4.9103582650933310e-54 -3.3621078942658530e-32
4.7578613593490962e+04 8.1058006240518796e-10 6.6189850439794436e-54 -4.4900392588777490e-32
5.2680607002319397e+04 8.0556329598754100e-10 8.9628983389717999e-54 -5.8504577308469103e-32
5.8329702034707741e+04 8.0056165785748085e-10 1.2189689532184468e-53 -7.4792297405799410e-32
6.4584565992339303e+04 7.9557600147220750e-10 1.6626543062953060e-53 -9.4426390114501577e-32
7.1510157242649278e+04 7.9060622920241196e-10 2.2807812865355681e-53 -1.1724869937822938e-31
7.9178399828141395e+04 7.8565030909364435e-10 3.1514264583528908e-53 -1.4399158459354523e-31
8.7668930416027724e+04 7.8071376991625202e-10 4.3666751874440839e-53 -1.7504233016058072e-31
9.7069925345455515e+04 7.7579077507074059e-10 6.0491520418415256e-53 -2.1086359705349659e-31
1.0747901636141851e+05 7.7088320206316155e-10 8.3788048364720220e-53 -2.5185738280300888e-31
1.1900430454548488e+05 7.6599161548913497e-10 1.1629621098969069e-52 -2.9818793883387251e-31
1.3176548297327198e+05 7.6111564158905653e-10 1.6170465654002230e-52 -3.5051486660181371e-31
1.4589507975775396e+05 7.5625425570499475e-10 2.2458802566465793e-52 -4.0883116463674134e-31
1.6153983438772897e+05 7.5141041642111240e-10 3.1167779997629147e-52 -4.7307274788741434e-31
1.7886222165506586e+05 7.4658152735886608e-10 4.3115916566944862e-52 -5.4278872460977918e-31
1.9804213899711720e+05 7.4176761117868803e-10 5.9595056032585223e-52 -6.1823709067791913e-31
2.1927877477777406e+05 7.3696957139132165e-10 8.2160545013840956e-52 -6.9875234139485440e-31
2.4279267690974436e+05 7.3218694815413632e-10 1.1244458999705500e-51 -7.8255271036303552e-31
2.6882804330122727e+05 7.2741998942561128e-10 1.5463996734010623e-51 -8.6859606203193095e-31
2.9765525791386038e+05 7.2266872932398166e-10 2.1090053796512180e-51 -9.5376230948140610e-31
3.2957369876955193e+05 7.1793287005471902e-10 2.8684882934599246e-51 -1.0351002411819850e-30
3.6491484706807020e+05 7.1321260494322799e-10 3.8805097095725913e-51 -1.1056300226828836e-30
4.0404572970437375e+05 7.0850794117942099e-10 5.2450763396153288e-51 -1.1686710930655660e-30
4.4737273093710840e+05 7.0381884530879239e-10 6.9780340536022375e-51 -1.1919355551709518e-30
4.9534581279342721e+05 6.9914520254845447e-10 9.4582162045877267e-51 -1.2181838442990706e-30
5.4846318804011936e+05 6.9448709040067120e-10 1.2631980517640468e-50 -1.1888687411476228e-30
6.0727649425105401e+05 6.8984462967698082e-10 1.6845826538337081e-50 -1.1101526073354738e-30
6.7239652270495542e+05 6.8521763392185284e-10 2.2448130194644139e-50 -9.7399999118432071e-31
7.4449956160958554e+05 6.8060619037005545e-10 2.9817209639141990e-50 -7.4734545625628228e-31
8.2433441952834197e+05 6.7600932515362514e-10 3.9632957002767899e-50 -4.2673123224615477e-31
9.1273020194936206e+05 6.7142954789528855e-10 5.2710902678127192e-50 1.4186326534660876e-33
1.0106049217587968e+06 6.6686533631187567e-10 6.9516496870855601e-50 6.8902864262357329e-31
1.1189750330402306e+06 6.6231609201226666e-10 9.2430406177568710e-50 1.4951905756128994e-30
