# k_modes P_R(k) P_S(k) P_RS(k) 
4.4581963040984968e-02 2.6441300563537448e-09 4.2682762011443713e-69 3.3258640037895656e-39
4.9560812923427643e-02 2.6994162055564284e-09 4.1777614112780567e-69 3.3287203640643679e-39
5.5095693641235517e-02 2.7535154543875720e-09 4.1045953297903617e-69 3.3360754596861368e-39
6.1248701923005938e-02 2.8061698963451004e-09 4.0092452456551246e-69 3.3318614437431226e-39
6.8088869371190769e-02 2.8570588184704220e-09 3.9554135755948488e-69 3.3423666266467425e-39
7.5692936938891980e-02 2.9058476220957775e-09 3.8982929521663880e-69 3.3491353132827493e-39
8.4146215899118249e-02 2.9522843838179676e-09 3.8290041194886604e-69 3.3481411458326723e-39
9.3543544965856998e-02 2.9962846412145161e-09 3.7703781110967062e-69 3.3492820218595455e-39
1.0399035430505918e-01 3.0379201119685704e-09 3.7099927636352411e-69 3.3472879688093602e-39
1.1560384837284927e-01 3.0772374718372138e-09 3.6549619001637310e-69 3.3454785065364787e-39
1.2851432085141537e-01 3.1140699560964826e-09 3.5983068332259060e-69 3.3407069995014759e-39
1.4286661643505852e-01 3.1476144435826681e-09 3.5461473630132115e-69 3.3354649529683519e-39
1.5882175586641897e-01 3.1778863948161734e-09 3.4956276376583541e-69 3.3285711924341504e-39
1.7655874245442341e-01 3.2046737687043228e-09 3.4466313354162589e-69 3.3199713168400378e-39
1.9627657034157359e-01 3.2278528152411467e-09 3.3974310249386904e-69 3.3088539885026009e-39
2.1819645705165427e-01 3.2474830874571165e-09 3.3489786936733705e-69 3.2957806847698103e-39
2.4256432536517653e-01 3.2636077272386743e-09 3.2997983579516260e-69 3.2801162441959628e-39
2.6965356236712157e-01 3.2761037320162856e-09 3.2553838443417913e-69 3.2646093936516814e-39
2.9976808662119153e-01 3.2847940984675655e-09 3.2072020574438643e-69 3.2449805174526795e-39
3.3324575788169442e-01 3.2896496608848366e-09 3.1613856859658889e-69 3.2243503233787786e-39
3.7046216759717693e-01 3.2907454420113769e-09 3.1134802478874187e-69 3.2005469875755064e-39
4.1183485273208237e-01 3.2880655314346856e-09 3.0639150078045684e-69 3.1738103300130857e-39
4.5782798018198628e-01 3.2815951989318543e-09 3.0152086391066964e-69 3.1454752515947805e-39
5.0895755433762646e-01 3.2714138837318790e-09 2.9692767016299754e-69 3.1166374400497246e-39
5.6579720622223795e-01 3.2575851574489159e-09 2.8179506640196571e-69 3.0297888429205840e-39
6.2898462915146724e-01 3.2402121575120252e-09 2.8731937041433475e-69 3.0511876214804218e-39
6.9922873311858236e-01 3.2193496183997050e-09 2.8256831965308168e-69 3.0160997598039697e-39
7.7731759817119395e-01 3.1948373283115333e-09 2.7748147054548839e-69 2.9774217877417579e-39
8.6412731600971493e-01 3.1672477319783400e-09 2.7249302528510556e-69 2.9377603347111699e-39
9.6063181900289263e-01 3.1367143598365441e-09 2.6762730904527576e-69 2.8973371556640269e-39
1.0679138068937422e+00 3.1033970192202795e-09 2.6326951234125914e-69 2.8583431447027021e-39
1.1871768937843714e+00 3.0674978043654045e-09 2.5755416659770106e-69 2.8107455580213383e-39
